module,intent,question,answer,combined
Asset Management,validation_rule,What are the conditions for an asset to be assigned to an employee or department?,"TAB The asset must have undergone multiple levels of verification and approval, ensuring that all asset-related data and supporting documents are thoroughly validated.","[Asset Management] Q: What are the conditions for an asset to be assigned to an employee or department? A: TAB The asset must have undergone multiple levels of verification and approval, ensuring that all asset-related data and supporting documents are thoroughly validated."
Asset Management,16. intent,TAB question,TAB answer,[Asset Management] Q: TAB question A: TAB answer
Asset Management,process,What are the steps involved in the three-level workflow for asset creation and submission?,"TAB The three-level workflow involves an initiator, verifier, and approver, with each level requiring specific actions and approvals.","[Asset Management] Q: What are the steps involved in the three-level workflow for asset creation and submission? A: TAB The three-level workflow involves an initiator, verifier, and approver, with each level requiring specific actions and approvals."
Asset Management,17. intent,TAB question,TAB answer,[Asset Management] Q: TAB question A: TAB answer
Asset Management,validation_rule,What are the conditions for an asset to be approved and activated in the system?,"TAB The asset must have undergone multiple levels of verification and approval, ensuring that all asset-related data and supporting documents are thoroughly validated.","[Asset Management] Q: What are the conditions for an asset to be approved and activated in the system? A: TAB The asset must have undergone multiple levels of verification and approval, ensuring that all asset-related data and supporting documents are thoroughly validated."
Asset Management,18. intent,TAB question,TAB answer,[Asset Management] Q: TAB question A: TAB answer
Asset Management,validation_rule,What are the conditions for an asset to be verified and scrutinized by the verifier?,TAB The asset must have been submitted by the initiator and must meet the system's requirements for verification.,[Asset Management] Q: What are the conditions for an asset to be verified and scrutinized by the verifier? A: TAB The asset must have been submitted by the initiator and must meet the system's requirements for verification.
Asset Management,19. intent,TAB question,TAB answer,[Asset Management] Q: TAB question A: TAB answer
Asset Management,validation_rule,What are the conditions for an asset to be approved by the approver?,"TAB The asset must have undergone multiple levels of verification and approval, ensuring that all asset-related data and supporting documents are thoroughly validated.","[Asset Management] Q: What are the conditions for an asset to be approved by the approver? A: TAB The asset must have undergone multiple levels of verification and approval, ensuring that all asset-related data and supporting documents are thoroughly validated."
Asset Management,20. intent,TAB question,TAB answer,[Asset Management] Q: TAB question A: TAB answer
Asset Management,validation_rule,What are the conditions for an asset to be assigned to an employee or department after approval?,"TAB The asset must have undergone multiple levels of verification and approval, ensuring that all asset-related data and supporting documents are thoroughly validated.","[Asset Management] Q: What are the conditions for an asset to be assigned to an employee or department after approval? A: TAB The asset must have undergone multiple levels of verification and approval, ensuring that all asset-related data and supporting documents are thoroughly validated."
Pet Registration,intent,Can I register/login using mobile number/OTP or credentials?,"Yes, you can register/login using your mobile number/OTP or credentials.","[Pet Registration] Q: Can I register/login using mobile number/OTP or credentials? A: Yes, you can register/login using your mobile number/OTP or credentials."
Pet Registration,intent,What is the process for creating a new pet registration application?,You can create a new pet registration application by following the application creation process.,[Pet Registration] Q: What is the process for creating a new pet registration application? A: You can create a new pet registration application by following the application creation process.
Pet Registration,intent,What information do I need to provide for my pet's registration?,"You need to provide your pet's type, breed, age, gender, color, and identification marks.","[Pet Registration] Q: What information do I need to provide for my pet's registration? A: You need to provide your pet's type, breed, age, gender, color, and identification marks."
Pet Registration,intent,How do I update my owner information for the pet registration?,"You can edit your owner details, including name, address, and contact information.","[Pet Registration] Q: How do I update my owner information for the pet registration? A: You can edit your owner details, including name, address, and contact information."
Pet Registration,intent,What documents do I need to upload for the pet registration?,"You need to upload your pet's vaccination certificate, ID proof, and a pet photo.","[Pet Registration] Q: What documents do I need to upload for the pet registration? A: You need to upload your pet's vaccination certificate, ID proof, and a pet photo."
Pet Registration,intent,What happens if I submit the application with incomplete information?,The application will be rejected due to incomplete information.,[Pet Registration] Q: What happens if I submit the application with incomplete information? A: The application will be rejected due to incomplete information.
Pet Registration,intent,How do I check the status of my pet registration application?,"You can view the status of your application under ""My Applications"".","[Pet Registration] Q: How do I check the status of my pet registration application? A: You can view the status of your application under ""My Applications""."
Pet Registration,intent,Will I receive notifications when my application status changes?,"Yes, you will receive SMS/Email notifications for status updates.","[Pet Registration] Q: Will I receive notifications when my application status changes? A: Yes, you will receive SMS/Email notifications for status updates."
Pet Registration,intent,When can I make the payment for the pet registration?,You can make the payment after your application has been approved.,[Pet Registration] Q: When can I make the payment for the pet registration? A: You can make the payment after your application has been approved.
Pet Registration,intent,How do I obtain a receipt for my payment?,You can download the payment receipt.,[Pet Registration] Q: How do I obtain a receipt for my payment? A: You can download the payment receipt.
Pet Registration,intent,How do I obtain the Pet Registration Certificate?,You can download the certificate after your application has been approved.,[Pet Registration] Q: How do I obtain the Pet Registration Certificate? A: You can download the certificate after your application has been approved.
Pet Registration,intent,What if I need to make changes to my application after submission?,You can edit your application before submission or if it is sent back for correction.,[Pet Registration] Q: What if I need to make changes to my application after submission? A: You can edit your application before submission or if it is sent back for correction.
Pet Registration,intent,How do I renew my pet's registration?,You can apply for renewal of your pet's registration.,[Pet Registration] Q: How do I renew my pet's registration? A: You can apply for renewal of your pet's registration.
Pet Registration,intent,How do counter employees access the system?,Counter employees can log in to the system.,[Pet Registration] Q: How do counter employees access the system? A: Counter employees can log in to the system.
Pet Registration,intent,Who can create a pet registration application on behalf of a citizen?,A counter employee can create a pet registration application on behalf of a citizen.,[Pet Registration] Q: Who can create a pet registration application on behalf of a citizen? A: A counter employee can create a pet registration application on behalf of a citizen.
Pet Registration,intent,What information do counter employees need to enter for the pet registration?,Counter employees need to enter the pet and owner details provided by the citizen.,[Pet Registration] Q: What information do counter employees need to enter for the pet registration? A: Counter employees need to enter the pet and owner details provided by the citizen.
Pet Registration,intent,What happens to documents submitted physically by the citizen?,Counter employees can upload the documents submitted physically by the citizen.,[Pet Registration] Q: What happens to documents submitted physically by the citizen? A: Counter employees can upload the documents submitted physically by the citizen.
Pet Registration,intent,Who can submit the application on behalf of the citizen?,A counter employee can submit the application on behalf of the citizen.,[Pet Registration] Q: Who can submit the application on behalf of the citizen? A: A counter employee can submit the application on behalf of the citizen.
Pet Registration,intent,Who is responsible for collecting and recording payment?,A counter employee is responsible for collecting and recording payment.,[Pet Registration] Q: Who is responsible for collecting and recording payment? A: A counter employee is responsible for collecting and recording payment.
Pet Registration,intent,Who generates the receipt for the citizen?,A counter employee generates and prints the receipt for the citizen.,[Pet Registration] Q: Who generates the receipt for the citizen? A: A counter employee generates and prints the receipt for the citizen.
Pet Registration,rejection_reason,Can I still submit the application if I don't have all the required documents?,"No, you need to upload all the required documents to submit the application.","[Pet Registration] Q: Can I still submit the application if I don't have all the required documents? A: No, you need to upload all the required documents to submit the application."
Pet Registration,validation_rule,What happens if I enter an invalid phone number?,The application will be rejected due to an invalid phone number.,[Pet Registration] Q: What happens if I enter an invalid phone number? A: The application will be rejected due to an invalid phone number.
Pet Registration,sla,How long does it take to process the pet registration application?,The processing time for the pet registration application is typically within [insert timeframe].,[Pet Registration] Q: How long does it take to process the pet registration application? A: The processing time for the pet registration application is typically within [insert timeframe].
Pet Registration,process,What is the step-by-step process for creating a new pet registration application?,You can create a new pet registration application by following these steps: [insert steps].,[Pet Registration] Q: What is the step-by-step process for creating a new pet registration application? A: You can create a new pet registration application by following these steps: [insert steps].
Pet Registration,edge_case,What if I need to register a pet that is not a typical household pet?,You can contact the counter employee for assistance with registering a non-typical household pet.,[Pet Registration] Q: What if I need to register a pet that is not a typical household pet? A: You can contact the counter employee for assistance with registering a non-typical household pet.
Pet Registration,comparison,How does the system determine the status of my application?,The system determines the status of your application based on the following criteria: [insert criteria].,[Pet Registration] Q: How does the system determine the status of my application? A: The system determines the status of your application based on the following criteria: [insert criteria].
Pet Registration,document_requirement,What documents do I need to provide for the pet registration?,"You need to provide your pet's vaccination certificate, ID proof, and a pet photo.","[Pet Registration] Q: What documents do I need to provide for the pet registration? A: You need to provide your pet's vaccination certificate, ID proof, and a pet photo."
Water Tanker Citizen Request Service,intent,What types of data are included in the reports generated by the Water Tanker Citizen Request Service?,"Reports generated by the Water Tanker Citizen Request Service include data on requests, payments, and deliveries.","[Water Tanker Citizen Request Service] Q: What types of data are included in the reports generated by the Water Tanker Citizen Request Service? A: Reports generated by the Water Tanker Citizen Request Service include data on requests, payments, and deliveries."
Water Tanker Citizen Request Service,intent,What is the minimum role required for a user to view the status of a water tanker request?,"A user must have a role of Citizen, CSC operator, ULB official, or State admin to view the status of a water tanker request.","[Water Tanker Citizen Request Service] Q: What is the minimum role required for a user to view the status of a water tanker request? A: A user must have a role of Citizen, CSC operator, ULB official, or State admin to view the status of a water tanker request."
Water Tanker Citizen Request Service,intent,What is the approval hierarchy for a water tanker request submitted by a citizen?,"A water tanker request submitted by a citizen requires approval from a CSC operator, followed by an ULB official, and finally a State admin.","[Water Tanker Citizen Request Service] Q: What is the approval hierarchy for a water tanker request submitted by a citizen? A: A water tanker request submitted by a citizen requires approval from a CSC operator, followed by an ULB official, and finally a State admin."
Water Tanker Citizen Request Service,intent,What are the possible states that a water tanker request can be in during the configurable workflow?,"A water tanker request can be in the following states during the configurable workflow: submitted, inspected, approved, and paid.","[Water Tanker Citizen Request Service] Q: What are the possible states that a water tanker request can be in during the configurable workflow? A: A water tanker request can be in the following states during the configurable workflow: submitted, inspected, approved, and paid."
Water Tanker Citizen Request Service,intent,What is the frequency of reminder notifications sent to citizens for unpaid or partially paid fees?,Reminder notifications are sent to citizens at regular intervals until the fees are paid in full.,[Water Tanker Citizen Request Service] Q: What is the frequency of reminder notifications sent to citizens for unpaid or partially paid fees? A: Reminder notifications are sent to citizens at regular intervals until the fees are paid in full.
Tree Pruning Citizen Request Service,rejection_reason,TAB What are the reasons for rejecting a tree pruning citizen request?,TAB The request will be rejected if it lacks location details or supporting evidence.,[Tree Pruning Citizen Request Service] Q: TAB What are the reasons for rejecting a tree pruning citizen request? A: TAB The request will be rejected if it lacks location details or supporting evidence.
Tree Pruning Citizen Request Service,validation_rule,TAB What is the minimum information required for a valid tree pruning request?,TAB A valid request must include location details and a description of the issue.,[Tree Pruning Citizen Request Service] Q: TAB What is the minimum information required for a valid tree pruning request? A: TAB A valid request must include location details and a description of the issue.
Tree Pruning Citizen Request Service,sla,TAB What is the expected response time for tree pruning citizen requests?,"TAB The expected response time for tree pruning requests is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure.","[Tree Pruning Citizen Request Service] Q: TAB What is the expected response time for tree pruning citizen requests? A: TAB The expected response time for tree pruning requests is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure."
Tree Pruning Citizen Request Service,process,TAB What is the role-based workflow for municipal staff handling tree pruning requests?,"TAB Municipal staff will follow a structured workflow for request handling, verification, and completion, with role-based access and assignment of requests to field teams.","[Tree Pruning Citizen Request Service] Q: TAB What is the role-based workflow for municipal staff handling tree pruning requests? A: TAB Municipal staff will follow a structured workflow for request handling, verification, and completion, with role-based access and assignment of requests to field teams."
Tree Pruning Citizen Request Service,edge_case,TAB What happens if a citizen submits a request for a tree that is not within the urban area?,TAB The request will be rejected due to the tree being outside the urban area.,[Tree Pruning Citizen Request Service] Q: TAB What happens if a citizen submits a request for a tree that is not within the urban area? A: TAB The request will be rejected due to the tree being outside the urban area.
Tree Pruning Citizen Request Service,comparison,TAB How does the system compare the priority of tree pruning requests?,"TAB The system does not explicitly state how it compares the priority of requests, but it ensures efficient request handling and response by municipal authorities.","[Tree Pruning Citizen Request Service] Q: TAB How does the system compare the priority of tree pruning requests? A: TAB The system does not explicitly state how it compares the priority of requests, but it ensures efficient request handling and response by municipal authorities."
Tree Pruning Citizen Request Service,document_requirement,TAB What types of supporting documents can citizens upload with their tree pruning requests?,TAB Citizens can upload supporting images or documents with their requests.,[Tree Pruning Citizen Request Service] Q: TAB What types of supporting documents can citizens upload with their tree pruning requests? A: TAB Citizens can upload supporting images or documents with their requests.
Tree Pruning Citizen Request Service,rejection_reason,TAB Under what circumstances will a tree pruning request be rejected due to obstruction?,"TAB A request will be rejected if the obstruction is not related to roads, streetlights, buildings, or electrical lines.","[Tree Pruning Citizen Request Service] Q: TAB Under what circumstances will a tree pruning request be rejected due to obstruction? A: TAB A request will be rejected if the obstruction is not related to roads, streetlights, buildings, or electrical lines."
Tree Pruning Citizen Request Service,validation_rule,TAB What is the purpose of capturing location details with a description of the issue in a tree pruning request?,TAB Capturing location details and a description of the issue helps municipal authorities to efficiently address the issue and ensure public safety.,[Tree Pruning Citizen Request Service] Q: TAB What is the purpose of capturing location details with a description of the issue in a tree pruning request? A: TAB Capturing location details and a description of the issue helps municipal authorities to efficiently address the issue and ensure public safety.
Tree Pruning Citizen Request Service,sla,TAB What is the expected time frame for completing a tree pruning request?,"TAB The expected time frame for completing a request is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure.","[Tree Pruning Citizen Request Service] Q: TAB What is the expected time frame for completing a tree pruning request? A: TAB The expected time frame for completing a request is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure."
Tree Pruning Citizen Request Service,process,TAB How does the system ensure transparency in service delivery for tree pruning requests?,"TAB The system ensures transparency through real-time tracking, notifications, and a structured workflow for request handling, verification, and completion.","[Tree Pruning Citizen Request Service] Q: TAB How does the system ensure transparency in service delivery for tree pruning requests? A: TAB The system ensures transparency through real-time tracking, notifications, and a structured workflow for request handling, verification, and completion."
Tree Pruning Citizen Request Service,edge_case,TAB What happens if a citizen submits a request for a tree that is already scheduled for pruning?,TAB The system will likely update the status of the existing request and notify the citizen of the new status.,[Tree Pruning Citizen Request Service] Q: TAB What happens if a citizen submits a request for a tree that is already scheduled for pruning? A: TAB The system will likely update the status of the existing request and notify the citizen of the new status.
Tree Pruning Citizen Request Service,comparison,TAB How does the system prioritize tree pruning requests?,"TAB The system does not explicitly state how it prioritizes requests, but it ensures efficient request handling and response by municipal authorities.","[Tree Pruning Citizen Request Service] Q: TAB How does the system prioritize tree pruning requests? A: TAB The system does not explicitly state how it prioritizes requests, but it ensures efficient request handling and response by municipal authorities."
Tree Pruning Citizen Request Service,document_requirement,TAB Can citizens upload multiple images with their tree pruning requests?,"TAB Yes, citizens can upload multiple images with their requests.","[Tree Pruning Citizen Request Service] Q: TAB Can citizens upload multiple images with their tree pruning requests? A: TAB Yes, citizens can upload multiple images with their requests."
Tree Pruning Citizen Request Service,rejection_reason,TAB Under what circumstances will a tree pruning request be rejected due to lack of supporting evidence?,TAB A request will be rejected if it lacks supporting images or documents.,[Tree Pruning Citizen Request Service] Q: TAB Under what circumstances will a tree pruning request be rejected due to lack of supporting evidence? A: TAB A request will be rejected if it lacks supporting images or documents.
Tree Pruning Citizen Request Service,validation_rule,"TAB What is the purpose of the ""My Applications"" feature for tree pruning requests?","TAB The ""My Applications"" feature allows citizens to track the status of their requests in real-time.","[Tree Pruning Citizen Request Service] Q: TAB What is the purpose of the ""My Applications"" feature for tree pruning requests? A: TAB The ""My Applications"" feature allows citizens to track the status of their requests in real-time."
Tree Pruning Citizen Request Service,sla,TAB What is the expected response time for notifications on tree pruning request status updates?,"TAB The expected response time for notifications is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure.","[Tree Pruning Citizen Request Service] Q: TAB What is the expected response time for notifications on tree pruning request status updates? A: TAB The expected response time for notifications is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure."
Tree Pruning Citizen Request Service,process,"TAB How does the system maintain records for monitoring, reporting, and audit purposes?","TAB The system maintains records of submitted requests, including history and status updates.","[Tree Pruning Citizen Request Service] Q: TAB How does the system maintain records for monitoring, reporting, and audit purposes? A: TAB The system maintains records of submitted requests, including history and status updates."
Tree Pruning Citizen Request Service,edge_case,TAB What happens if a citizen submits a request for a tree that is not hazardous or obstructive?,"TAB The request will be handled as a regular tree pruning request, with the citizen notified of the status and any necessary actions.","[Tree Pruning Citizen Request Service] Q: TAB What happens if a citizen submits a request for a tree that is not hazardous or obstructive? A: TAB The request will be handled as a regular tree pruning request, with the citizen notified of the status and any necessary actions."
Tree Pruning Citizen Request Service,comparison,TAB How does the system ensure efficient coordination between citizens and field staff for tree pruning requests?,"TAB The system ensures efficient coordination through real-time tracking, notifications, and a structured workflow for request handling, verification, and completion.","[Tree Pruning Citizen Request Service] Q: TAB How does the system ensure efficient coordination between citizens and field staff for tree pruning requests? A: TAB The system ensures efficient coordination through real-time tracking, notifications, and a structured workflow for request handling, verification, and completion."
Tree Pruning Citizen Request Service,document_requirement,TAB Can citizens upload documents in addition to images with their tree pruning requests?,"TAB Yes, citizens can upload documents in addition to images with their requests.","[Tree Pruning Citizen Request Service] Q: TAB Can citizens upload documents in addition to images with their tree pruning requests? A: TAB Yes, citizens can upload documents in addition to images with their requests."
Tree Pruning Citizen Request Service,rejection_reason,TAB Under what circumstances will a tree pruning request be rejected due to lack of location details?,TAB A request will be rejected if it lacks location details.,[Tree Pruning Citizen Request Service] Q: TAB Under what circumstances will a tree pruning request be rejected due to lack of location details? A: TAB A request will be rejected if it lacks location details.
Tree Pruning Citizen Request Service,validation_rule,TAB What is the purpose of the role-based workflow for municipal staff handling tree pruning requests?,TAB The role-based workflow ensures that municipal staff have the necessary access and permissions to handle requests efficiently.,[Tree Pruning Citizen Request Service] Q: TAB What is the purpose of the role-based workflow for municipal staff handling tree pruning requests? A: TAB The role-based workflow ensures that municipal staff have the necessary access and permissions to handle requests efficiently.
Tree Pruning Citizen Request Service,sla,TAB What is the expected time frame for updating the status of a tree pruning request?,"TAB The expected time frame for updating the status of a request is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure.","[Tree Pruning Citizen Request Service] Q: TAB What is the expected time frame for updating the status of a tree pruning request? A: TAB The expected time frame for updating the status of a request is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure."
Tree Pruning Citizen Request Service,process,TAB How does the system ensure that tree pruning requests are handled in a structured and efficient manner?,TAB The system ensures efficient request handling and response by municipal authorities through a structured workflow and real-time tracking.,[Tree Pruning Citizen Request Service] Q: TAB How does the system ensure that tree pruning requests are handled in a structured and efficient manner? A: TAB The system ensures efficient request handling and response by municipal authorities through a structured workflow and real-time tracking.
Tree Pruning Citizen Request Service,edge_case,"TAB What happens if a citizen submits a request for a tree that is outside of the urban area, but is adjacent to the urban area?",TAB The request will be rejected due to the tree being outside the urban area.,"[Tree Pruning Citizen Request Service] Q: TAB What happens if a citizen submits a request for a tree that is outside of the urban area, but is adjacent to the urban area? A: TAB The request will be rejected due to the tree being outside the urban area."
Tree Pruning Citizen Request Service,comparison,TAB How does the system compare the priority of tree pruning requests in terms of infrastructure safety?,"TAB The system does not explicitly state how it compares the priority of requests, but it ensures efficient request handling and response by municipal authorities.","[Tree Pruning Citizen Request Service] Q: TAB How does the system compare the priority of tree pruning requests in terms of infrastructure safety? A: TAB The system does not explicitly state how it compares the priority of requests, but it ensures efficient request handling and response by municipal authorities."
Tree Pruning Citizen Request Service,document_requirement,TAB Can citizens upload images or documents with their tree pruning requests?,"TAB Yes, citizens can upload images or documents with their requests.","[Tree Pruning Citizen Request Service] Q: TAB Can citizens upload images or documents with their tree pruning requests? A: TAB Yes, citizens can upload images or documents with their requests."
Tree Pruning Citizen Request Service,rejection_reason,TAB Under what circumstances will a tree pruning request be rejected due to lack of description of the issue?,TAB A request will be rejected if it lacks a description of the issue.,[Tree Pruning Citizen Request Service] Q: TAB Under what circumstances will a tree pruning request be rejected due to lack of description of the issue? A: TAB A request will be rejected if it lacks a description of the issue.
Tree Pruning Citizen Request Service,validation_rule,"TAB What is the purpose of the ""Assignment of requests to field teams"" feature for tree pruning requests?","TAB The ""Assignment of requests to field teams"" feature ensures that requests are handled by the most appropriate team for efficient completion.","[Tree Pruning Citizen Request Service] Q: TAB What is the purpose of the ""Assignment of requests to field teams"" feature for tree pruning requests? A: TAB The ""Assignment of requests to field teams"" feature ensures that requests are handled by the most appropriate team for efficient completion."
Tree Pruning Citizen Request Service,sla,TAB What is the expected response time for tree pruning requests in terms of public safety?,"TAB The expected response time for tree pruning requests is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure.","[Tree Pruning Citizen Request Service] Q: TAB What is the expected response time for tree pruning requests in terms of public safety? A: TAB The expected response time for tree pruning requests is not explicitly stated, but the system ensures timely action for maintaining public safety and infrastructure."
Tree Pruning Citizen Request Service,process,TAB How does the system ensure that tree pruning requests are completed in a timely manner?,TAB The system ensures timely action for maintaining public safety and infrastructure through a structured workflow and real-time tracking.,[Tree Pruning Citizen Request Service] Q: TAB How does the system ensure that tree pruning requests are completed in a timely manner? A: TAB The system ensures timely action for maintaining public safety and infrastructure through a structured workflow and real-time tracking.
Tree Pruning Citizen Request Service,edge_case,TAB What happens if a citizen submits a request for a tree that is already being pruned by another team?,TAB The system will likely update the status of the existing request and notify the citizen of the new status.,[Tree Pruning Citizen Request Service] Q: TAB What happens if a citizen submits a request for a tree that is already being pruned by another team? A: TAB The system will likely update the status of the existing request and notify the citizen of the new status.
Tree Pruning Citizen Request Service,comparison,TAB How does the system compare the priority of tree pruning requests in terms of urban greenery maintenance?,"TAB The system does not explicitly state how it compares the priority of requests, but it ensures efficient request handling and response by municipal authorities.","[Tree Pruning Citizen Request Service] Q: TAB How does the system compare the priority of tree pruning requests in terms of urban greenery maintenance? A: TAB The system does not explicitly state how it compares the priority of requests, but it ensures efficient request handling and response by municipal authorities."
Tree Pruning Citizen Request Service,document_requirement,TAB Can citizens upload images or documents with their tree pruning requests in addition to location details?,"TAB Yes, citizens can upload images or documents with their requests in addition to location details.","[Tree Pruning Citizen Request Service] Q: TAB Can citizens upload images or documents with their tree pruning requests in addition to location details? A: TAB Yes, citizens can upload images or documents with their requests in addition to location details."
Tree Pruning Citizen Request Service,rejection_reason,TAB Under what circumstances will a tree pruning request be rejected due to lack of online submission?,TAB A request will be rejected if it is not submitted online.,[Tree Pruning Citizen Request Service] Q: TAB Under what circumstances will a tree pruning request be rejected due to lack of online submission? A: TAB A request will be rejected if it is not submitted online.
