module,content,type,combined
Asset Management,Automated depreciation calculation (configurable methods such as straight-line/declining balance),Paragraph,[Asset Management] Automated depreciation calculation (configurable methods such as straight-line/declining balance)
Asset Management,Integration-ready structure aligned with National Municipal Accounting Manual (NMAM),Paragraph,[Asset Management] Integration-ready structure aligned with National Municipal Accounting Manual (NMAM)
Asset Management,3.6 Maintenance Management,Paragraph,[Asset Management] 3.6 Maintenance Management
Asset Management,Scheduling of maintenance activities,Paragraph,[Asset Management] Scheduling of maintenance activities
Asset Management,Logging of maintenance history,Paragraph,[Asset Management] Logging of maintenance history
Asset Management,Tracking asset condition and improvements,Paragraph,[Asset Management] Tracking asset condition and improvements
Asset Management,Workflow-based disposal/write-off process,Paragraph,[Asset Management] Workflow-based disposal/write-off process
Asset Management,Documentation and approval for disposal actions,Paragraph,[Asset Management] Documentation and approval for disposal actions
Asset Management,3.8 Certificate Generation,Paragraph,[Asset Management] 3.8 Certificate Generation
Asset Management,"Generation of asset-related certificates (ownership, assignment, compliance)",Paragraph,"[Asset Management] Generation of asset-related certificates (ownership, assignment, compliance)"
Asset Management,3.9 Reporting & Analytics,Paragraph,[Asset Management] 3.9 Reporting & Analytics
Asset Management,Standard and configurable reports:,Paragraph,[Asset Management] Standard and configurable reports:
Asset Management,Asset register (including land register),Paragraph,[Asset Management] Asset register (including land register)
Asset Management,Assignment and return reports,Paragraph,[Asset Management] Assignment and return reports
Asset Management,Maintenance and disposal reports,Paragraph,[Asset Management] Maintenance and disposal reports
Asset Management,Dashboard for monitoring asset status and lifecycle,Paragraph,[Asset Management] Dashboard for monitoring asset status and lifecycle
Asset Management,3.10 System Configuration,Paragraph,[Asset Management] 3.10 System Configuration
Asset Management,Role-based access control,Paragraph,[Asset Management] Role-based access control
Asset Management,"Configurable asset categories, locations, and workflows",Paragraph,"[Asset Management] Configurable asset categories, locations, and workflows"
Asset Management,Notification system for approvals and actions,Paragraph,[Asset Management] Notification system for approvals and actions
Asset Management,Functional Requirements:,Paragraph,[Asset Management] Functional Requirements:
Asset Management,S.No. | Feature Category | Feature Details,Table,[Asset Management] S.No. | Feature Category | Feature Details
Asset Management,"ASM1 | Login | Role-based login for ULB employees (Initiator, Verifier, Approver, Admin)",Table,"[Asset Management] ASM1 | Login | Role-based login for ULB employees (Initiator, Verifier, Approver, Admin)"
Asset Management,ASM2 | User Management | Manage users and roles,Table,[Asset Management] ASM2 | User Management | Manage users and roles
Asset Management,ASM3 | System Configuration | Configure workflows and rules,Table,[Asset Management] ASM3 | System Configuration | Configure workflows and rules
Asset Management,ASM4 | Asset Categories | Create and manage asset categories,Table,[Asset Management] ASM4 | Asset Categories | Create and manage asset categories
Asset Management,ASM5 | Location Management | Define asset locations (GIS-enabled),Table,[Asset Management] ASM5 | Location Management | Define asset locations (GIS-enabled)
Asset Management,ASM6 | Depreciation Settings | Configure depreciation and appreciation methods,Table,[Asset Management] ASM6 | Depreciation Settings | Configure depreciation and appreciation methods
Asset Management,ASM7 | Dashboard | View asset summary and notifications,Table,[Asset Management] ASM7 | Dashboard | View asset summary and notifications
Asset Management,"ASM8 | Notifications | Receive alerts for approvals, maintenance, returns, and valuation updates",Table,"[Asset Management] ASM8 | Notifications | Receive alerts for approvals, maintenance, returns, and valuation updates"
Asset Management,"ASM9 | Asset Creation | Create new asset with category, specifications, financial year, department, and purchase details",Table,"[Asset Management] ASM9 | Asset Creation | Create new asset with category, specifications, financial year, department, and purchase details"
Asset Management,ASM10 | Asset Creation | Capture geospatial details or mark asset on map,Table,[Asset Management] ASM10 | Asset Creation | Capture geospatial details or mark asset on map
Asset Management,"ASM11 | Document Upload | Upload invoices, warranties, and supporting documents",Table,"[Asset Management] ASM11 | Document Upload | Upload invoices, warranties, and supporting documents"
Asset Management,ASM12 | Workflow Tracking | System generates Asset ID and tracks application status,Table,[Asset Management] ASM12 | Workflow Tracking | System generates Asset ID and tracks application status
Asset Management,ASM13 | Document Verification | Verifier reviews uploaded documents,Table,[Asset Management] ASM13 | Document Verification | Verifier reviews uploaded documents
Asset Management,"ASM14 | Verification Status | Mark documents as verified, rejected, or send back for correction",Table,"[Asset Management] ASM14 | Verification Status | Mark documents as verified, rejected, or send back for correction"
Asset Management,ASM15 | Send Back | Return application to initiator for corrections,Table,[Asset Management] ASM15 | Send Back | Return application to initiator for corrections
Asset Management,ASM16 | First-Level Approval | Approver reviews verified assets,Table,[Asset Management] ASM16 | First-Level Approval | Approver reviews verified assets
Asset Management,ASM17 | Approval Decision | Approve or reject asset creation request,Table,[Asset Management] ASM17 | Approval Decision | Approve or reject asset creation request
Asset Management,ASM18 | Final Approval | Final authority approves asset entry and activates asset,Table,[Asset Management] ASM18 | Final Approval | Final authority approves asset entry and activates asset
Asset Management,ASM19 | Notifications | Notify users of approval or rejection,Table,[Asset Management] ASM19 | Notifications | Notify users of approval or rejection
Asset Management,ASM20 | Workflow Tracking | Track approval status at each stage,Table,[Asset Management] ASM20 | Workflow Tracking | Track approval status at each stage
Asset Management,ASM21 | QR Code Generation | Generate and assign unique QR code to asset,Table,[Asset Management] ASM21 | QR Code Generation | Generate and assign unique QR code to asset
Asset Management,ASM22 | Asset Search | Search and filter assets based on parameters,Table,[Asset Management] ASM22 | Asset Search | Search and filter assets based on parameters
Asset Management,ASM23 | Asset Assignment | Assign asset to employee or department,Table,[Asset Management] ASM23 | Asset Assignment | Assign asset to employee or department
Asset Management,ASM24 | Asset Return | Process return of assigned assets and update availability,Table,[Asset Management] ASM24 | Asset Return | Process return of assigned assets and update availability
Asset Management,ASM25 | Maintenance Scheduling | Schedule maintenance activities,Table,[Asset Management] ASM25 | Maintenance Scheduling | Schedule maintenance activities
Asset Management,ASM26 | Maintenance Record | Log maintenance history and updates,Table,[Asset Management] ASM26 | Maintenance Record | Log maintenance history and updates
Asset Management,ASM27 | Depreciation Calculation | Automatically calculate asset depreciation,Table,[Asset Management] ASM27 | Depreciation Calculation | Automatically calculate asset depreciation
Asset Management,"ASM28 | Asset Appreciation | Record increase in asset value due to revaluation, market changes, or infrastructure development",Table,"[Asset Management] ASM28 | Asset Appreciation | Record increase in asset value due to revaluation, market changes, or infrastructure development"
Asset Management,"ASM29 | Asset Editing | Update asset details such as location, ownership, condition, and valuation",Table,"[Asset Management] ASM29 | Asset Editing | Update asset details such as location, ownership, condition, and valuation"
Asset Management,"ASM30 | Certificate Generation | Generate asset ownership, assignment, and valuation certificates",Table,"[Asset Management] ASM30 | Certificate Generation | Generate asset ownership, assignment, and valuation certificates"
Asset Management,ASM31 | Asset Disposal | Initiate and process asset disposal or write-off,Table,[Asset Management] ASM31 | Asset Disposal | Initiate and process asset disposal or write-off
Asset Management,ASM32 | Reports | Generate reports on asset inventory and lifecycle,Table,[Asset Management] ASM32 | Reports | Generate reports on asset inventory and lifecycle
Asset Management,ASM33 | Reports & Analytics | View dashboards and analytics for decision-making,Table,[Asset Management] ASM33 | Reports & Analytics | View dashboards and analytics for decision-making
Property Tax Assessment and Payment,Property Tax Assessment and Payment,Paragraph,[Property Tax Assessment and Payment] Property Tax Assessment and Payment
Property Tax Assessment and Payment,"Property Tax (PT) Assessment and Payment is a self-serve web and mobile-based, easy-to-use and configurable product that addresses the objectives of municipal corporations and local government to automate all property tax operations, thus providing property tax assessment and payment services to citizens in real-time.",Paragraph,"[Property Tax Assessment and Payment] Property Tax (PT) Assessment and Payment is a self-serve web and mobile-based, easy-to-use and configurable product that addresses the objectives of municipal corporations and local government to automate all property tax operations, thus providing property tax assessment and payment services to citizens in real-time."
Property Tax Assessment and Payment,"The Property Tax (PT) Assessment and Payment module offers the citizens and governance bodies a convenient and transparent means of processing property taxes. Local governing bodies identify the applicable tax slabs for different types of properties. The PT module assesses properties, calculates tax amount, processes tax payment and generates tax collection reports.",Paragraph,"[Property Tax Assessment and Payment] The Property Tax (PT) Assessment and Payment module offers the citizens and governance bodies a convenient and transparent means of processing property taxes. Local governing bodies identify the applicable tax slabs for different types of properties. The PT module assesses properties, calculates tax amount, processes tax payment and generates tax collection reports."
Property Tax Assessment and Payment,Digitize property tax assessment and payment,Paragraph,[Property Tax Assessment and Payment] Digitize property tax assessment and payment
Property Tax Assessment and Payment,Improve transparency and accountability,Paragraph,[Property Tax Assessment and Payment] Improve transparency and accountability
Property Tax Assessment and Payment,Enable citizen self-service,Paragraph,[Property Tax Assessment and Payment] Enable citizen self-service
Property Tax Assessment and Payment,Support municipal decision-making through analytics,Paragraph,[Property Tax Assessment and Payment] Support municipal decision-making through analytics
Property Tax Assessment and Payment,Integrate with GIS and financial systems,Paragraph,[Property Tax Assessment and Payment] Integrate with GIS and financial systems
Property Tax Assessment and Payment,"Ensure interoperability with other urban service modules (e.g., water tax, trade license, GIS)",Paragraph,"[Property Tax Assessment and Payment] Ensure interoperability with other urban service modules (e.g., water tax, trade license, GIS)"
Property Tax Assessment and Payment,Manage property database,Paragraph,[Property Tax Assessment and Payment] Manage property database
Property Tax Assessment and Payment,"Provides support for property registration, transfer, bifurcations, amalgamation",Paragraph,"[Property Tax Assessment and Payment] Provides support for property registration, transfer, bifurcations, amalgamation"
Property Tax Assessment and Payment,GIS embedded and integrated with financials municipal accounting system,Paragraph,[Property Tax Assessment and Payment] GIS embedded and integrated with financials municipal accounting system
Property Tax Assessment and Payment,Various payment options available to citizens to make payments from their convenient places,Paragraph,[Property Tax Assessment and Payment] Various payment options available to citizens to make payments from their convenient places
Property Tax Assessment and Payment,Auto-generated defaulters’ list and real time online tracking,Paragraph,[Property Tax Assessment and Payment] Auto-generated defaulters’ list and real time online tracking
Property Tax Assessment and Payment,Functional Requirements:,Paragraph,[Property Tax Assessment and Payment] Functional Requirements:
Property Tax Assessment and Payment,S.No. | Feature Category | Feature Details,Table,[Property Tax Assessment and Payment] S.No. | Feature Category | Feature Details
Property Tax Assessment and Payment,PT1 | Platform | Provision for Citizens to file Property Tax Assessment via Web App/Mobile app.,Table,[Property Tax Assessment and Payment] PT1 | Platform | Provision for Citizens to file Property Tax Assessment via Web App/Mobile app.
Property Tax Assessment and Payment,PT2 | Platform | Provision for Employees to file Property Tax Assessment via Web App.,Table,[Property Tax Assessment and Payment] PT2 | Platform | Provision for Employees to file Property Tax Assessment via Web App.
Property Tax Assessment and Payment,PT3 | Registration & Login Mechanism | Provision for Language Selection during first time registration via Mobile/Web App,Table,[Property Tax Assessment and Payment] PT3 | Registration & Login Mechanism | Provision for Language Selection during first time registration via Mobile/Web App
Property Tax Assessment and Payment,PT4 | Registration & Login Mechanism | OTP Based Login for Citizen via Web App,Table,[Property Tax Assessment and Payment] PT4 | Registration & Login Mechanism | OTP Based Login for Citizen via Web App
Property Tax Assessment and Payment,PT5 | Registration & Login Mechanism | Provision for language selection during first time registration of Employee via Web App,Table,[Property Tax Assessment and Payment] PT5 | Registration & Login Mechanism | Provision for language selection during first time registration of Employee via Web App
Property Tax Assessment and Payment,PT6 | Registration & Login Mechanism | OTP Based Login for Employee via Web/Mobile App,Table,[Property Tax Assessment and Payment] PT6 | Registration & Login Mechanism | OTP Based Login for Employee via Web/Mobile App
Property Tax Assessment and Payment,PT7 | Registration & Login Mechanism | Login Credentials for various hierarchy of employees.,Table,[Property Tax Assessment and Payment] PT7 | Registration & Login Mechanism | Login Credentials for various hierarchy of employees.
Property Tax Assessment and Payment,PT8 | Personalized Profile Section | Provision of Personalized Profile for Citizen on Web App,Table,[Property Tax Assessment and Payment] PT8 | Personalized Profile Section | Provision of Personalized Profile for Citizen on Web App
Property Tax Assessment and Payment,PT9 | Personalized Profile Section | Provision of Personalized Profile for Employee on Web App,Table,[Property Tax Assessment and Payment] PT9 | Personalized Profile Section | Provision of Personalized Profile for Employee on Web App
Property Tax Assessment and Payment,PT10 | Filing an Assessment | Citizen/CSC : Add New Property,Table,[Property Tax Assessment and Payment] PT10 | Filing an Assessment | Citizen/CSC : Add New Property
Property Tax Assessment and Payment,"PT11 | Filing an Assessment | Citizen/CSC : Capture Address, Assessment Info, Owner Info.",Table,"[Property Tax Assessment and Payment] PT11 | Filing an Assessment | Citizen/CSC : Capture Address, Assessment Info, Owner Info."
Property Tax Assessment and Payment,PT12 | Filing an Assessment | Citizen/CSC : View/Print Summary of Filled Form,Table,[Property Tax Assessment and Payment] PT12 | Filing an Assessment | Citizen/CSC : View/Print Summary of Filled Form
Property Tax Assessment and Payment,"PT13 | Searching a Property | Citizen/CSC : Search Property (By Mobile No,City, Property Tax Unique ID, Existing ID).",Table,"[Property Tax Assessment and Payment] PT13 | Searching a Property | Citizen/CSC : Search Property (By Mobile No,City, Property Tax Unique ID, Existing ID)."
Property Tax Assessment and Payment,PT14 | Searching a Property | Citizen/CSC : View the Searched Property,Table,[Property Tax Assessment and Payment] PT14 | Searching a Property | Citizen/CSC : View the Searched Property
Property Tax Assessment and Payment,PT15 | Searching a Property | Open search of property for citizen without login,Table,[Property Tax Assessment and Payment] PT15 | Searching a Property | Open search of property for citizen without login
Property Tax Assessment and Payment,PT16 | Searching a Property | Citizen : View My Properties,Table,[Property Tax Assessment and Payment] PT16 | Searching a Property | Citizen : View My Properties
Property Tax Assessment and Payment,PT17 | Searching a Property | Citizen/CSC : Edit the Searched Property,Table,[Property Tax Assessment and Payment] PT17 | Searching a Property | Citizen/CSC : Edit the Searched Property
Property Tax Assessment and Payment,PT18 | Searching a Property | Citizen/CSC : Reassess Searched Property,Table,[Property Tax Assessment and Payment] PT18 | Searching a Property | Citizen/CSC : Reassess Searched Property
Property Tax Assessment and Payment,PT19 | Searching a Property | Citizen/CSC : Download Receipts (Citizen/Employee),Table,[Property Tax Assessment and Payment] PT19 | Searching a Property | Citizen/CSC : Download Receipts (Citizen/Employee)
Property Tax Assessment and Payment,PT20 | Mutation of Property | Change of title ownership from one person to another when the property is sold or transferred,Table,[Property Tax Assessment and Payment] PT20 | Mutation of Property | Change of title ownership from one person to another when the property is sold or transferred
Property Tax Assessment and Payment,"PT21 | Payment Collection | Payment of TAX (Online,Cheque,Cash,DD) : During Assessment",Table,"[Property Tax Assessment and Payment] PT21 | Payment Collection | Payment of TAX (Online,Cheque,Cash,DD) : During Assessment"
Property Tax Assessment and Payment,PT22 | Payment Collection | Open payment of property tax without login by citizen,Table,[Property Tax Assessment and Payment] PT22 | Payment Collection | Open payment of property tax without login by citizen
Property Tax Assessment and Payment,"PT23 | Payment Collection | Payment of TAX (Online,Cheque,Cash,DD) : Partial Payment",Table,"[Property Tax Assessment and Payment] PT23 | Payment Collection | Payment of TAX (Online,Cheque,Cash,DD) : Partial Payment"
Property Tax Assessment and Payment,"PT24 | Dashboard & Reports | State Dashboard : View Reports for Total Collections, Properties Assessed, ULBs on Prod, Usage Type, Payment Distribution",Table,"[Property Tax Assessment and Payment] PT24 | Dashboard & Reports | State Dashboard : View Reports for Total Collections, Properties Assessed, ULBs on Prod, Usage Type, Payment Distribution"
Property Tax Assessment and Payment,"PT25 | Dashboard & Reports | State Dashboard : PT Collection Timeline (Monthly,Weekly)",Table,"[Property Tax Assessment and Payment] PT25 | Dashboard & Reports | State Dashboard : PT Collection Timeline (Monthly,Weekly)"
Property Tax Assessment and Payment,"PT26 | Dashboard & Reports | State Dashboard : ULB Wise (Collection, Assessments)",Table,"[Property Tax Assessment and Payment] PT26 | Dashboard & Reports | State Dashboard : ULB Wise (Collection, Assessments)"
Property Tax Assessment and Payment,PT27 | Dashboard & Reports | Cancelled Receipt Register Report,Table,[Property Tax Assessment and Payment] PT27 | Dashboard & Reports | Cancelled Receipt Register Report
Property Tax Assessment and Payment,PT28 | Dashboard & Reports | PT Collection Report (ULB/Date Wise),Table,[Property Tax Assessment and Payment] PT28 | Dashboard & Reports | PT Collection Report (ULB/Date Wise)
Property Tax Assessment and Payment,PT29 | Miscellaneous Features | Configurable Rate Master (ULB Specific) : Fire Cess/ Building Height,Table,[Property Tax Assessment and Payment] PT29 | Miscellaneous Features | Configurable Rate Master (ULB Specific) : Fire Cess/ Building Height
Property Tax Assessment and Payment,PT30 | Miscellaneous Features | Charges & Calculation : Calculation Engine,Table,[Property Tax Assessment and Payment] PT30 | Miscellaneous Features | Charges & Calculation : Calculation Engine
Property Tax Assessment and Payment,PT31 | Miscellaneous Features | Charges & Calculation : Rebate- Date Based,Table,[Property Tax Assessment and Payment] PT31 | Miscellaneous Features | Charges & Calculation : Rebate- Date Based
Property Tax Assessment and Payment,PT32 | Miscellaneous Features | Charges & Calculation : Penalty- Date Based,Table,[Property Tax Assessment and Payment] PT32 | Miscellaneous Features | Charges & Calculation : Penalty- Date Based
Property Tax Assessment and Payment,PT33 | Miscellaneous Features | Charges & Calculation : Exemptions Property Type & Owner Type,Table,[Property Tax Assessment and Payment] PT33 | Miscellaneous Features | Charges & Calculation : Exemptions Property Type & Owner Type
Property Tax Assessment and Payment,PT34 | Miscellaneous Features | Charges & Calculation : Ad-Hoc Rebate,Table,[Property Tax Assessment and Payment] PT34 | Miscellaneous Features | Charges & Calculation : Ad-Hoc Rebate
Property Tax Assessment and Payment,PT35 | Miscellaneous Features | Charges & Calculation : Ad-Hoc Penalty,Table,[Property Tax Assessment and Payment] PT35 | Miscellaneous Features | Charges & Calculation : Ad-Hoc Penalty
Property Tax Assessment and Payment,PT36 | Miscellaneous Features | Payments & Collection : Various Payment Modes,Table,[Property Tax Assessment and Payment] PT36 | Miscellaneous Features | Payments & Collection : Various Payment Modes
Property Tax Assessment and Payment,PT37 | Miscellaneous Features | Notifications : SMS Notifications with links to download bills and receipts,Table,[Property Tax Assessment and Payment] PT37 | Miscellaneous Features | Notifications : SMS Notifications with links to download bills and receipts
Property Tax Assessment and Payment,PT38 | Miscellaneous Features | State Masters : Property Ontology,Table,[Property Tax Assessment and Payment] PT38 | Miscellaneous Features | State Masters : Property Ontology
Property Tax Assessment and Payment,PT39 | Miscellaneous Features | State Masters : Documents List,Table,[Property Tax Assessment and Payment] PT39 | Miscellaneous Features | State Masters : Documents List
Property Tax Assessment and Payment,PT40 | Miscellaneous Features | State Masters : Ownership,Table,[Property Tax Assessment and Payment] PT40 | Miscellaneous Features | State Masters : Ownership
Property Tax Assessment and Payment,PT41 | Miscellaneous Features | State Masters : Ownership Special Category,Table,[Property Tax Assessment and Payment] PT41 | Miscellaneous Features | State Masters : Ownership Special Category
Property Tax Assessment and Payment,PT42 | Miscellaneous Features | ULB Masters : Employee Data Mapping,Table,[Property Tax Assessment and Payment] PT42 | Miscellaneous Features | ULB Masters : Employee Data Mapping
Property Tax Assessment and Payment,PT43 | Miscellaneous Features | ULB Masters : Boundary Data Mapping,Table,[Property Tax Assessment and Payment] PT43 | Miscellaneous Features | ULB Masters : Boundary Data Mapping
Property Tax Assessment and Payment,PT44 | Miscellaneous Features | ULB Masters : Fee Matrix (License Fees),Table,[Property Tax Assessment and Payment] PT44 | Miscellaneous Features | ULB Masters : Fee Matrix (License Fees)
Property Tax Assessment and Payment,PT45 | Miscellaneous Features | Property Tax Legacy Data Upload.,Table,[Property Tax Assessment and Payment] PT45 | Miscellaneous Features | Property Tax Legacy Data Upload.
Property Tax Assessment and Payment,PT46 | Miscellaneous Features | Online generation and printing of property tax challan,Table,[Property Tax Assessment and Payment] PT46 | Miscellaneous Features | Online generation and printing of property tax challan
Property Tax Assessment and Payment,PT47 | Miscellaneous Features | Payment of tax online or offline.,Table,[Property Tax Assessment and Payment] PT47 | Miscellaneous Features | Payment of tax online or offline.
Property Tax Assessment and Payment,PT48 | Miscellaneous Features | Track the status of property tax filled,Table,[Property Tax Assessment and Payment] PT48 | Miscellaneous Features | Track the status of property tax filled
Property Tax Assessment and Payment,PT49 | Miscellaneous Features | Fetch the data of previous year property data while e-filing for current year.,Table,[Property Tax Assessment and Payment] PT49 | Miscellaneous Features | Fetch the data of previous year property data while e-filing for current year.
Property Tax Assessment and Payment,PT50 | Miscellaneous Features | The system should be able to generate the Payment received/pending details.,Table,[Property Tax Assessment and Payment] PT50 | Miscellaneous Features | The system should be able to generate the Payment received/pending details.
Property Tax Assessment and Payment,PT51 | Miscellaneous Features | See Calculation details for the assessment - Citizen & Employee,Table,[Property Tax Assessment and Payment] PT51 | Miscellaneous Features | See Calculation details for the assessment - Citizen & Employee
Property Tax Assessment and Payment,PT 53 | Miscellaneous Features | Pay for anyone's property without changing the demand - Citizen,Table,[Property Tax Assessment and Payment] PT 53 | Miscellaneous Features | Pay for anyone's property without changing the demand - Citizen
Property Tax Assessment and Payment,PT 54 | Miscellaneous Features | Search and Group bills for printing and distribution,Table,[Property Tax Assessment and Payment] PT 54 | Miscellaneous Features | Search and Group bills for printing and distribution
Property Tax Assessment and Payment,PT 55 | Miscellaneous Features | Bulk generation of demand for assessment year,Table,[Property Tax Assessment and Payment] PT 55 | Miscellaneous Features | Bulk generation of demand for assessment year
Property Tax Assessment and Payment,PT 56 | Miscellaneous Features | Receipt cancellation,Table,[Property Tax Assessment and Payment] PT 56 | Miscellaneous Features | Receipt cancellation
Property Tax Assessment and Payment,PT 57 | Miscellaneous Features | Finance Integration for collection reconciliation,Table,[Property Tax Assessment and Payment] PT 57 | Miscellaneous Features | Finance Integration for collection reconciliation
Property Tax Assessment and Payment,PT 58 | Self-Assesmnet of Property | The system allows citizens to independently initiate an assessment and make payments based on the assessment they have raised.,Table,[Property Tax Assessment and Payment] PT 58 | Self-Assesmnet of Property | The system allows citizens to independently initiate an assessment and make payments based on the assessment they have raised.
Property Tax Assessment and Payment,"PT 65 | Role-Based Access | Role-based access control for Citizens, CSC operators, ULB officials, State admins",Table,"[Property Tax Assessment and Payment] PT 65 | Role-Based Access | Role-based access control for Citizens, CSC operators, ULB officials, State admins"
Property Tax Assessment and Payment,"PT 66 | Role-Based Access | Approval workflow for assessments, mutations, and exemptions",Table,"[Property Tax Assessment and Payment] PT 66 | Role-Based Access | Approval workflow for assessments, mutations, and exemptions"
Property Tax Assessment and Payment,"PT 67 | Workflow Management | Configurable workflow for assessment, approval, and payment processing",Table,"[Property Tax Assessment and Payment] PT 67 | Workflow Management | Configurable workflow for assessment, approval, and payment processing"
Property Tax Assessment and Payment,PT 68 | Notifications & Alerts | Reminder notifications for unpaid or partially paid property tax,Table,[Property Tax Assessment and Payment] PT 68 | Notifications & Alerts | Reminder notifications for unpaid or partially paid property tax
Property Tax Assessment and Payment,PT 69 | Grievance Redressal | Citizen grievance submission and tracking for property tax issues,Table,[Property Tax Assessment and Payment] PT 69 | Grievance Redressal | Citizen grievance submission and tracking for property tax issues
Property Tax Assessment and Payment,PT 70 | Grievance Redressal | SLA-based grievance resolution tracking and escalation,Table,[Property Tax Assessment and Payment] PT 70 | Grievance Redressal | SLA-based grievance resolution tracking and escalation
